Shape,Depth,Web,Width,Flange
W44x335,44,1.02,16,1.77
W44x290,43.6,0.87,15.8,1.58
W44x285,44.02,1.024,11.811,1.772
W44x262,43.3,0.79,15.8,1.42
W44x248,43.62,0.865,11.811,1.575
W44x230,42.9,0.71,15.8,1.22
W44X224,43.31,0.787,11.811,1.416
W44x198,42.91,0.709,11.811,1.22
W40x655,43.62,1.97,16.87,3.54
W40x593,43,1.79,16.7,3.23
W40x531,42.34,1.61,16.51,2.91
W40x503,42.1,1.54,16.4,2.76
W40x480,41.81,1.46,16.36,2.64
W40x466,42.44,1.67,12.64,2.95
W40x436,41.34,1.34,16.24,2.4
W40x431,41.3,1.34,16.2,2.36
W40x397,41,1.22,16.1,2.2
W40x392,41.6,1.42,12.4,2.52
W40x372,40.6,1.16,16.1,2.05
W40x362,40.6,1.12,16,2.01
W40x331,40.8,1.22,12.2,2.13
W40x328,40,0.91,17.91,1.73
W40x327,40.8,1.18,12.1,2.13
W40x324,40.2,1,15.9,1.81
W40x321,40.08,1,15.91,1.77
W40x298,39.69,0.83,17.83,1.575
W40x297,39.8,0.93,15.8,1.65
W40x278,40.2,1.02,12,1.81
W40x277,39.7,0.83,15.8,1.58
W40x268,39.37,0.75,17.75,1.415
W40x264,40,0.96,11.9,1.73
W40x249,39.4,0.75,15.8,1.42
W40x244,39.06,0.71,17.71,1.26
W40x235,39.7,0.83,11.9,1.58
W40x221,38.67,0.71,17.71,1.065
W40x215,39,0.65,15.8,1.22
W40x211,39.4,0.75,11.8,1.42
W40x199,38.7,0.65,15.8,1.07
W40x192,38.2,0.71,17.71,0.83
W40x183,39,0.65,11.8,1.22
W40x174,38.2,0.65,15.75,0.83
W40x167,38.6,0.65,11.8,1.02
W40x149,38.2,0.63,11.8,0.83
W36x848,42.45,2.52,18.13,4.53
W36x798,42,2.38,18,4.29
W36x720,41.19,2.165,17.775,3.9
W36x650,40.5,1.97,17.6,3.54
W36x588,39.84,1.79,17.4,3.23
W36x527,39.2,1.61,17.2,2.91
W36x485,38.74,1.5,17.105,2.68
W36x439,38.3,1.36,17,2.44
W36x393,37.8,1.22,16.8,2.2
W36x359,37.4,1.12,16.7,2.01
W36x328,37.1,1.02,16.6,1.85
W36x300,36.7,0.945,16.7,1.68
W36x280,36.5,0.885,16.6,1.57
W36x260,36.3,0.84,16.6,1.44
W36x256,37.4,0.96,12.2,1.73
